"id","result"
816613,13
819121,16
785247,13
805837,11
813839,14
800515,13
809075,11
787967,0
783916,16
817291,7
821998,16
825083,11
812450,16
817179,13
814626,13
799923,13
783602,13
795859,16
816547,11
822393,13
782570,11
804532,13
800147,11
790351,13
812453,16
825498,11
824440,11
822811,14
808944,16
789522,13
803285,13
815186,16
807979,16
809795,11
813150,16
809832,11
783851,16
789285,13
795312,0
785690,13
818666,10
782878,11
805228,13
784252,13
789541,13
793580,7
821586,13
791979,11
814041,10
794544,7
800224,16
799793,13
803879,11
813272,11
783472,11
808988,16
784610,10
806181,11
790067,13
794104,7
795157,11
802730,0
796383,0
793713,16
783166,11
794504,10
813825,14
800787,16
795476,15
802604,11
807868,16
824675,13
821791,0
817762,11
798514,16
825528,11
809998,13
820304,10
806030,16
805630,16
801475,11
793231,7
826547,4
804865,16
812250,6
785018,13
809117,13
787788,13
793989,11
822904,11
802699,0
826509,14
789943,13
787459,7
796050,8
823973,11
806818,11
799111,16
791799,11
808199,16
807565,14
804886,16
822715,6
826170,16
825665,16
804940,11
822176,11
802598,15
818365,11
814900,16
823112,13
824546,11
822419,11
785933,16
785854,10
809178,13
813682,14
799367,16
794046,16
806365,11
800990,16
817294,7
787787,13
823471,11
806667,16
792679,13
791358,13
795514,16
784978,11
824367,11
807918,16
824469,16
806568,11
795231,14
809507,13
786814,10
787427,13
796224,0
794340,11
800181,11
798666,11
796792,13
787944,0
786274,8
809020,16
782443,14
791485,16
787805,13
790908,13
803588,11
801412,16
824432,16
804177,13
795539,16
790050,13
804746,11
818431,11
793270,10
799670,16
789750,11
798966,13
800798,10
809343,8
802647,11
791128,11
802878,0
789919,16
824421,11
793454,14
823128,13
784011,16
783243,16
818249,0
782321,4
809527,11
784086,16
805674,16
823174,11
801545,16
820528,16
805275,13
812556,7
824395,9
825280,10
820934,16
804578,11
803245,11
821155,10
823809,11
786805,10
793260,11
807382,10
802804,0
823432,14
801973,11
794603,7
823229,16
817743,11
813142,11
804597,11
799985,16
805105,10
802472,13
802540,14
786316,16
804985,10
823994,10
789955,13
803085,11
800429,13
782549,13
797900,13
821059,14
823904,16
786260,16
788522,13
817223,3
818295,0
816815,11
820231,13
799024,16
826593,13
804309,11
792190,4
823034,11
793024,16
820949,16
824939,16
802508,11
784903,16
821267,13
806610,11
792471,16
820502,16
808429,10
809135,13
814000,16
808942,16
803799,13
813726,16
825337,11
809839,10
815361,11
802277,7
814261,11
803385,13
801277,16
818062,16
800233,11
795110,11
821813,11
791916,10
825157,16
817068,4
787005,10
822974,13
822644,14
810362,11
820878,16
789671,13
807958,16
786217,11
821738,11
792402,16
794223,16
788724,16
787365,10
789891,11
815757,16
790076,13
803632,13
812159,11
803186,13
824973,16
788315,10
790532,16
811138,11
785774,11
789025,11
800575,13
787807,11
811246,11
784787,11
798407,16
821082,11
805104,11
783815,16
789264,13
783800,16
795899,16
817707,14
814255,0
807048,10
819787,13
795626,10
784474,16
823344,16
782916,10
789969,11
820287,11
802853,0
797524,11
782952,11
825371,16
817413,13
826470,11
802300,7
795963,16
786640,11
792717,13
824252,10
826498,13
804493,16
826071,16
824757,11
801288,16
826184,0
812214,4
805151,10
799270,10
808890,16
813498,16
809781,13
805926,16
786370,13
818559,11
788087,10
817366,10
825578,10
808909,16
803752,13
801741,11
782434,11
793342,16
797140,16
815907,11
820312,10
785383,11
802097,16
809434,13
792518,11
792760,11
822702,14
816400,11
799989,16
811053,16
817460,16
809989,13
786241,10
803732,11
798709,11
808213,16
817712,13
825054,16
788550,16
808661,16
820511,16
799104,16
814014,16
809181,11
813641,7
822159,13
806043,13
799447,16
818532,10
783201,10
786242,11
818996,13
819973,13
812034,11
809207,13
784355,11
824216,16
820388,16
824647,11
785421,16
814156,10
819353,13
820338,11
793737,13
807150,11
800390,16
811735,10
798487,0
785539,11
826670,11
800078,10
796750,13
805810,16
805462,16
785334,13
784933,16
812720,16
796266,14
794356,11
785316,13
824161,11
819814,11
816037,16
794870,11
808588,16
798512,16
810662,16
791262,11
790949,13
822624,4
792758,11
802203,7
787430,13
791523,11
801998,10
791347,13
793423,11
784435,11
819987,13
794732,7
811860,11
784451,15
800771,16
802364,7
815375,16
808541,16
802704,0
819530,13
783539,13
799273,10
796723,16
811385,16
785019,11
804879,16
802196,7
826527,16
815363,0
813270,11
784000,16
802959,13
796054,13
800688,13
783824,11
811045,16
785289,11
818167,11
792660,13
819896,11
821547,13
799085,16
811752,11
822151,13
819521,13
782516,13
806552,14
819777,13
817144,14
800492,11
809219,16
825455,16
789239,13
808403,11
815888,16
821853,16
802307,11
813718,16
813027,11
811699,14
822180,13
804887,16
807276,16
785739,16
824091,16
791913,11
802441,15
783123,13
799370,16
826649,10
808503,11
784902,16
825483,16
826187,0
794179,13
807952,16
803966,0
825756,16
820143,11
820413,16
801220,10
799895,13
806517,13
790774,11
787292,11
806939,11
820145,13
796674,16
808349,11
784712,7
822370,0
824258,16
825482,16
783321,11
817282,7
812342,16
809842,13
819464,13
807989,11
784107,10
796150,10
803608,11
825184,16
803371,13
814386,16
803601,11
784977,11
819478,13
819172,11
806743,14
823548,16
821983,16
802444,10
802325,7
798911,11
799663,16
789836,13
800641,10
809214,16
798129,13
795827,11
822356,0
825663,16
813611,14
786689,13
797221,16
797632,0
805742,16
811547,14
820510,11
799067,16
812724,4
814129,16
791865,16
817284,7
790396,13
784946,13
789515,13
803682,11
825969,11
800926,11
825611,11
811380,16
811207,4
812653,14
806434,6
824290,16
802487,11
802039,14
819310,13
800944,11
797316,13
795842,16
809666,11
825647,11
801298,16
793265,16
783453,11
783910,16
815860,13
797512,11
821378,16
816812,16
800371,16
788116,10
808905,16
819916,13
813941,4
783976,16
817928,14
806049,11
806793,10
803365,11
785034,14
792541,16
794588,7
790277,11
803486,13
818585,16
814912,16
808536,16
825114,11
788915,11
790429,11
783071,16
797615,3
800146,11
807187,11
814056,16
823436,0
793466,16
789578,11
813414,11
809473,13
790866,11
807205,11
785374,14
803812,13
809089,11
803971,13
815122,16
819348,13
820761,4
784928,15
785706,16
803931,13
784821,11
818700,10
799101,11
783506,11
795925,16
790569,10
815140,16
794868,8
804317,13
784601,11
789142,10
784292,13
783871,16
801098,10
788721,16
824029,10
801293,16
817414,10
817820,13
815957,13
811397,16
783102,11
804785,16
799916,13
805172,13
797145,16
823555,16
817689,7
807549,10
825976,16
814886,16
806330,16
817563,4
783181,10
818414,10
823190,16
788432,16
783898,11
796793,3
805043,10
818515,0
809147,13
813892,13
786381,13
822483,11
795283,16
783469,11
816581,10
789692,13
809194,16
823354,14
784298,13
824680,13
815114,14
789840,13
819463,13
783346,11
826057,14
790544,13
783767,11
792802,13
820943,16
803945,13
788130,10
826717,13
787605,16
805725,16
796202,16
798195,11
820570,16
821321,11
819400,13
808825,11
784316,13
804081,0
792793,6
809084,16
824667,13
797870,16
785331,16
805294,13
794069,16
812964,16
812428,16
805705,16
815358,11
795550,16
809612,11
791907,11
815721,16
795551,4
803767,13
825526,16
826317,13
804587,10
818550,11
803775,13
821729,13
792462,16
808570,16
811369,16
798593,10
800741,16
784039,16
802755,0
812830,16
803563,13
785662,10
785494,14
786323,11
798970,10
809179,13
818468,14
783255,11
797209,11
805970,16
804052,16
794569,7
819855,13
798817,16
789935,16
824349,0
802271,7
821020,16
809735,11
788105,10
808610,16
813608,14
824573,11
784198,11
795447,10
801812,16
821812,0
795490,16
812700,16
799524,7
811629,16
796142,11
819650,13
821749,14
792817,11
799955,13
808523,16
795310,0
796017,16
788757,11
811497,16
812919,4
813463,7
805541,13
825415,16
822899,13
795885,16
812106,16
807008,10
804358,13
